03/18/21 12:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 12:53, S13, 16, Partly Cloudy, SCT095, 15.6, 7.8, , , 60%, NA, NA, 76.58, 1020.9, , , 
---
Minute since start, Events per minute
1, 96
2, 89
3, 81
4, 95
5, 86
6, 80
7, 88
8, 102
9, 100
10, 94
11, 81
12, 88
13, 81
14, 76
15, 87
16, 93
17, 79
18, 80
19, 69
20, 93
21, 78
22, 64
23, 79
24, 66
25, 80
26, 81
27, 92
28, 104
29, 90
30, 62
31, 66
32, 79
33, 89
34, 82
35, 89
36, 98
37, 74
38, 92
39, 97
40, 80
41, 95
42, 82
43, 78
44, 85
45, 98
46, 78
47, 85
48, 83
49, 80
50, 72
51, 72
52, 93
53, 79
54, 101
55, 96
56, 102
57, 89
58, 72
59, 86
60, 97
