03/18/21 14:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 12:53, S13, 16, Partly Cloudy, SCT095, 15.6, 7.8, , , 60%, NA, NA, 76.58, 1020.9, , , 
---
Incident number, relative time since start, timestamp
1, 0.12916724709793925, 2021-03-18 15:00:02.293448
2, 1.1324217070359737, 2021-03-18 15:00:03.296721
3, 1.1752690100111067, 2021-03-18 15:00:03.339565
4, 1.4567500059492886, 2021-03-18 15:00:03.621050
5, 1.7122097150422633, 2021-03-18 15:00:03.876513
6, 1.7521321871317923, 2021-03-18 15:00:03.916446
7, 2.260961570078507, 2021-03-18 15:00:04.425271
8, 2.9569165660068393, 2021-03-18 15:00:05.121230
9, 3.547235131962225, 2021-03-18 15:00:05.711549
10, 3.685062078991905, 2021-03-18 15:00:05.849377
11, 5.1647004771512, 2021-03-18 15:00:07.329015
12, 5.323272519977763, 2021-03-18 15:00:07.487586
13, 5.53009559516795, 2021-03-18 15:00:07.694411
14, 5.561769002117217, 2021-03-18 15:00:07.726085
15, 6.322969964006916, 2021-03-18 15:00:08.487280
16, 6.337716560112312, 2021-03-18 15:00:08.502032
17, 7.197837507119402, 2021-03-18 15:00:09.362151
18, 7.26300572603941, 2021-03-18 15:00:09.427321
19, 7.316282072104514, 2021-03-18 15:00:09.480598
20, 8.764031853992492, 2021-03-18 15:00:10.928343
21, 9.858166973106563, 2021-03-18 15:00:12.022478
22, 10.568304887972772, 2021-03-18 15:00:12.732618
23, 11.22206230997108, 2021-03-18 15:00:13.386377
24, 11.239233300089836, 2021-03-18 15:00:13.403549
25, 11.473823779029772, 2021-03-18 15:00:13.638134
26, 12.383833782048896, 2021-03-18 15:00:14.548139
27, 12.872175922151655, 2021-03-18 15:00:15.036486
28, 13.222167616011575, 2021-03-18 15:00:15.386480
29, 14.679332501953468, 2021-03-18 15:00:16.843642
30, 15.217707928968593, 2021-03-18 15:00:17.382021
31, 16.764814157038927, 2021-03-18 15:00:18.929126
32, 16.79518508212641, 2021-03-18 15:00:18.959501
33, 16.914703777991235, 2021-03-18 15:00:19.079020
34, 16.980756022967398, 2021-03-18 15:00:19.145072
35, 18.18848724407144, 2021-03-18 15:00:20.352798
36, 18.28532803012058, 2021-03-18 15:00:20.449644
37, 18.435538331978023, 2021-03-18 15:00:20.599850
38, 18.47080013412051, 2021-03-18 15:00:20.635116
39, 18.737141754012555, 2021-03-18 15:00:20.901457
40, 19.348161400994286, 2021-03-18 15:00:21.512475
41, 20.9736195220612, 2021-03-18 15:00:23.137930
42, 22.21309952507727, 2021-03-18 15:00:24.377412
43, 22.48288114904426, 2021-03-18 15:00:24.647197
44, 23.31069783307612, 2021-03-18 15:00:25.475012
45, 23.431851657107472, 2021-03-18 15:00:25.596167
46, 24.531494283117354, 2021-03-18 15:00:26.695808
47, 25.097062345128506, 2021-03-18 15:00:27.261377
48, 25.18630321812816, 2021-03-18 15:00:27.350618
49, 25.21760881715454, 2021-03-18 15:00:27.381925
50, 26.124892737017944, 2021-03-18 15:00:28.289206
51, 27.043971598148346, 2021-03-18 15:00:29.208285
52, 28.833339222008362, 2021-03-18 15:00:30.997650
53, 29.876555397175252, 2021-03-18 15:00:32.040867
54, 30.228881872957572, 2021-03-18 15:00:32.393196
55, 30.675683232955635, 2021-03-18 15:00:32.839999
56, 31.3614756281022, 2021-03-18 15:00:33.525791
57, 31.94010561099276, 2021-03-18 15:00:34.104421
58, 33.62253514700569, 2021-03-18 15:00:35.786843
59, 34.02934067603201, 2021-03-18 15:00:36.193652
60, 34.052207600092515, 2021-03-18 15:00:36.216523
61, 34.0832701290492, 2021-03-18 15:00:36.247586
62, 34.33870635111816, 2021-03-18 15:00:36.503019
63, 34.8813348331023, 2021-03-18 15:00:37.045650
64, 34.894675156101584, 2021-03-18 15:00:37.058991
65, 35.81038631894626, 2021-03-18 15:00:37.974700
66, 36.64584502601065, 2021-03-18 15:00:38.810158
67, 37.72765376395546, 2021-03-18 15:00:39.891962
68, 38.280424386961386, 2021-03-18 15:00:40.444737
69, 38.89874304598197, 2021-03-18 15:00:41.063053
70, 39.562431197147816, 2021-03-18 15:00:41.726739
71, 40.22541965194978, 2021-03-18 15:00:42.389729
72, 40.62544566113502, 2021-03-18 15:00:42.789758
73, 41.13726524100639, 2021-03-18 15:00:43.301580
74, 46.28514085803181, 2021-03-18 15:00:48.449447
75, 46.35425408813171, 2021-03-18 15:00:48.518570
76, 47.304594018962234, 2021-03-18 15:00:49.468906
77, 48.20364970411174, 2021-03-18 15:00:50.367964
78, 49.71488969610073, 2021-03-18 15:00:51.879202
79, 49.89510256610811, 2021-03-18 15:00:52.059413
80, 49.96655139210634, 2021-03-18 15:00:52.130866
81, 50.97982682404108, 2021-03-18 15:00:53.144138
82, 52.01907721697353, 2021-03-18 15:00:54.183386
83, 54.149670450016856, 2021-03-18 15:00:56.313979
84, 54.34241615002975, 2021-03-18 15:00:56.506730
85, 54.40131950797513, 2021-03-18 15:00:56.565631
86, 54.42123626312241, 2021-03-18 15:00:56.585552
87, 55.01130884117447, 2021-03-18 15:00:57.175624
88, 55.89353078510612, 2021-03-18 15:00:58.057844
89, 56.06125014810823, 2021-03-18 15:00:58.225565
90, 56.225552767980844, 2021-03-18 15:00:58.389868
91, 57.05335590313189, 2021-03-18 15:00:59.217670
92, 57.56592882913537, 2021-03-18 15:00:59.730243
93, 58.280272886157036, 2021-03-18 15:01:00.444586
94, 59.46088016615249, 2021-03-18 15:01:01.625194
95, 61.58921233215369, 2021-03-18 15:01:03.753514
96, 61.971930054947734, 2021-03-18 15:01:04.136245
97, 61.975168713135645, 2021-03-18 15:01:04.139485
98, 62.412859841948375, 2021-03-18 15:01:04.577173
99, 63.56659601605497, 2021-03-18 15:01:05.730905
100, 63.97202504216693, 2021-03-18 15:01:06.136340
101, 64.31968398205936, 2021-03-18 15:01:06.483996
102, 65.17507824697532, 2021-03-18 15:01:07.339390
103, 66.42455498012714, 2021-03-18 15:01:08.588861
104, 66.45550175802782, 2021-03-18 15:01:08.619818
105, 66.83603520016186, 2021-03-18 15:01:09.000350
106, 67.58643543510698, 2021-03-18 15:01:09.750749
107, 67.96548832999542, 2021-03-18 15:01:10.129804
108, 68.19737829104997, 2021-03-18 15:01:10.361694
109, 68.92520946101286, 2021-03-18 15:01:11.089524
110, 69.6584445941262, 2021-03-18 15:01:11.822753
111, 70.1940148761496, 2021-03-18 15:01:12.358328
112, 72.10465439897962, 2021-03-18 15:01:14.268964
113, 74.16734607610852, 2021-03-18 15:01:16.331652
114, 74.43171451799572, 2021-03-18 15:01:16.596030
115, 75.01953199016862, 2021-03-18 15:01:17.183847
116, 75.65849678497761, 2021-03-18 15:01:17.822811
117, 77.01156426011585, 2021-03-18 15:01:19.175876
118, 77.4647873621434, 2021-03-18 15:01:19.629102
119, 77.67102670506574, 2021-03-18 15:01:19.835342
120, 77.76572414813563, 2021-03-18 15:01:19.930040
121, 77.89615482999943, 2021-03-18 15:01:20.060470
122, 78.26586455199867, 2021-03-18 15:01:20.430178
123, 78.41576864104718, 2021-03-18 15:01:20.580084
124, 78.77761589712463, 2021-03-18 15:01:20.941932
125, 79.17600901797414, 2021-03-18 15:01:21.340325
126, 79.22600871510804, 2021-03-18 15:01:21.390325
127, 79.3739577990491, 2021-03-18 15:01:21.538273
128, 80.85697073698975, 2021-03-18 15:01:23.021281
129, 82.79109819210134, 2021-03-18 15:01:24.955404
130, 83.09127416904084, 2021-03-18 15:01:25.255582
131, 83.64531886111945, 2021-03-18 15:01:25.809629
132, 83.91650200006552, 2021-03-18 15:01:26.080814
133, 83.91732081817463, 2021-03-18 15:01:26.081637
134, 84.01787530002184, 2021-03-18 15:01:26.182190
135, 84.03544019511901, 2021-03-18 15:01:26.199756
136, 84.15851603308693, 2021-03-18 15:01:26.322832
137, 85.82798088295385, 2021-03-18 15:01:27.992289
138, 87.34936276008375, 2021-03-18 15:01:29.513670
139, 87.46389392996207, 2021-03-18 15:01:29.628209
140, 88.35665388405323, 2021-03-18 15:01:30.520968
141, 88.52403578301892, 2021-03-18 15:01:30.688350
142, 89.21613227017224, 2021-03-18 15:01:31.380443
143, 90.2197900051251, 2021-03-18 15:01:32.384099
144, 90.251041039126, 2021-03-18 15:01:32.415357
145, 90.87585562095046, 2021-03-18 15:01:33.040171
146, 92.08919544005767, 2021-03-18 15:01:34.253509
147, 93.06481611100025, 2021-03-18 15:01:35.229131
148, 97.35784136899747, 2021-03-18 15:01:39.522143
149, 97.37698574503884, 2021-03-18 15:01:39.541301
150, 97.7081666381564, 2021-03-18 15:01:39.872482
151, 98.01063907402568, 2021-03-18 15:01:40.174955
152, 99.4231863131281, 2021-03-18 15:01:41.587498
153, 99.55530616105534, 2021-03-18 15:01:41.719622
154, 99.88042595912702, 2021-03-18 15:01:42.044738
155, 101.231830943143, 2021-03-18 15:01:43.396143
156, 101.28109874809161, 2021-03-18 15:01:43.445415
157, 102.19733173097484, 2021-03-18 15:01:44.361647
158, 103.87061274796724, 2021-03-18 15:01:46.034924
159, 103.90243322006427, 2021-03-18 15:01:46.066749
160, 104.06585275195539, 2021-03-18 15:01:46.230169
161, 106.75699431705289, 2021-03-18 15:01:48.921308
162, 107.03007822507061, 2021-03-18 15:01:49.194394
163, 107.17089862609282, 2021-03-18 15:01:49.335214
164, 107.21405746997334, 2021-03-18 15:01:49.378370
165, 107.7442093740683, 2021-03-18 15:01:49.908524
166, 107.86508977715857, 2021-03-18 15:01:50.029406
167, 108.19781298097223, 2021-03-18 15:01:50.362127
168, 109.35018465295434, 2021-03-18 15:01:51.514499
169, 109.45867951516993, 2021-03-18 15:01:51.622994
170, 110.25614613899961, 2021-03-18 15:01:52.420458
171, 110.69557452807203, 2021-03-18 15:01:52.859890
172, 111.13156964117661, 2021-03-18 15:01:53.295885
173, 111.22865299507976, 2021-03-18 15:01:53.392969
174, 111.4765278629493, 2021-03-18 15:01:53.640842
175, 115.97281146002933, 2021-03-18 15:01:58.137117
176, 116.29590291017666, 2021-03-18 15:01:58.460217
177, 116.4433308839798, 2021-03-18 15:01:58.607646
178, 116.51831613504328, 2021-03-18 15:01:58.682632
179, 116.67422883794643, 2021-03-18 15:01:58.838545
180, 117.09789652610198, 2021-03-18 15:01:59.262211
181, 118.96024994808249, 2021-03-18 15:02:01.124563
182, 121.30339413904585, 2021-03-18 15:02:03.467705
183, 121.77969061699696, 2021-03-18 15:02:03.944004
184, 123.19645289611071, 2021-03-18 15:02:05.360761
185, 123.50959769706242, 2021-03-18 15:02:05.673913
186, 124.11371294595301, 2021-03-18 15:02:06.278026
187, 124.77731862105429, 2021-03-18 15:02:06.941634
188, 125.13211737503298, 2021-03-18 15:02:07.296433
189, 125.20661942800507, 2021-03-18 15:02:07.370936
190, 125.35093246307224, 2021-03-18 15:02:07.515248
191, 125.76804363401607, 2021-03-18 15:02:07.932359
192, 125.93904998595826, 2021-03-18 15:02:08.103366
193, 126.49211847409606, 2021-03-18 15:02:08.656430
194, 127.03898897697218, 2021-03-18 15:02:09.203304
195, 129.45401288894936, 2021-03-18 15:02:11.618324
196, 131.26930437702686, 2021-03-18 15:02:13.433614
197, 132.46781628904864, 2021-03-18 15:02:14.632123
198, 133.4266751559917, 2021-03-18 15:02:15.590986
199, 133.86729083606042, 2021-03-18 15:02:16.031606
200, 133.8749432519544, 2021-03-18 15:02:16.039259
201, 134.45952878100798, 2021-03-18 15:02:16.623843
202, 134.61374018806964, 2021-03-18 15:02:16.778056
203, 134.74005145113915, 2021-03-18 15:02:16.904368
204, 135.53865583403967, 2021-03-18 15:02:17.702971
205, 136.73363956110552, 2021-03-18 15:02:18.897953
206, 136.83778436598368, 2021-03-18 15:02:19.002100
207, 138.10185169312172, 2021-03-18 15:02:20.266159
208, 139.80425354395993, 2021-03-18 15:02:21.968564
209, 139.98163441196084, 2021-03-18 15:02:22.145950
210, 140.6971836281009, 2021-03-18 15:02:22.861497
211, 143.27705350006, 2021-03-18 15:02:25.441360
212, 143.67391643603332, 2021-03-18 15:02:25.838232
213, 143.86497157695703, 2021-03-18 15:02:26.029287
214, 144.12526329304092, 2021-03-18 15:02:26.289579
215, 145.1224848360289, 2021-03-18 15:02:27.286798
216, 145.32185539999045, 2021-03-18 15:02:27.486170
217, 148.9738861019723, 2021-03-18 15:02:31.138193
218, 150.31998137710616, 2021-03-18 15:02:32.484292
219, 152.4479713900946, 2021-03-18 15:02:34.612283
220, 152.45061408216134, 2021-03-18 15:02:34.614930
221, 152.69110777811147, 2021-03-18 15:02:34.855423
222, 153.0954953781329, 2021-03-18 15:02:35.259811
223, 153.92997476598248, 2021-03-18 15:02:36.094287
224, 154.71979736117646, 2021-03-18 15:02:36.884109
225, 154.92269121995196, 2021-03-18 15:02:37.087006
226, 156.16872609616257, 2021-03-18 15:02:38.333039
227, 156.54185780207627, 2021-03-18 15:02:38.706171
228, 156.90521444915794, 2021-03-18 15:02:39.069530
229, 156.9134930500295, 2021-03-18 15:02:39.077809
230, 156.92095064697787, 2021-03-18 15:02:39.085267
231, 157.5599562150892, 2021-03-18 15:02:39.724271
232, 158.295852110954, 2021-03-18 15:02:40.460165
233, 158.56281459401362, 2021-03-18 15:02:40.727130
234, 160.00913500017487, 2021-03-18 15:02:42.173445
235, 160.47989084315486, 2021-03-18 15:02:42.644200
236, 160.82543323305435, 2021-03-18 15:02:42.989748
237, 161.03096638410352, 2021-03-18 15:02:43.195281
238, 161.5729472360108, 2021-03-18 15:02:43.737260
239, 161.63383385608904, 2021-03-18 15:02:43.798150
240, 162.900771408109, 2021-03-18 15:02:45.065082
241, 162.9011736700777, 2021-03-18 15:02:45.065490
242, 163.5875964590814, 2021-03-18 15:02:45.751907
243, 164.38837330206297, 2021-03-18 15:02:46.552687
244, 165.5195959219709, 2021-03-18 15:02:47.683908
245, 165.61114267003722, 2021-03-18 15:02:47.775459
246, 165.8523619400803, 2021-03-18 15:02:48.016678
247, 166.37994077405892, 2021-03-18 15:02:48.544256
248, 168.75031272717752, 2021-03-18 15:02:50.914624
249, 169.6662818810437, 2021-03-18 15:02:51.830595
250, 170.71520705102012, 2021-03-18 15:02:52.879519
251, 170.78081687609665, 2021-03-18 15:02:52.945132
252, 171.14522976614535, 2021-03-18 15:02:53.309546
253, 172.32900576409884, 2021-03-18 15:02:54.493320
254, 172.38777671009302, 2021-03-18 15:02:54.552092
255, 172.8616311531514, 2021-03-18 15:02:55.025946
256, 174.0436067120172, 2021-03-18 15:02:56.207921
257, 174.51088514295407, 2021-03-18 15:02:56.675199
258, 174.62131965113804, 2021-03-18 15:02:56.785636
259, 175.41494586900808, 2021-03-18 15:02:57.579261
260, 175.9722024721559, 2021-03-18 15:02:58.136517
261, 177.0668872189708, 2021-03-18 15:02:59.231202
262, 177.1769873420708, 2021-03-18 15:02:59.341303
263, 177.4372255259659, 2021-03-18 15:02:59.601541
264, 177.63666205503978, 2021-03-18 15:02:59.800978
265, 178.20651008514687, 2021-03-18 15:03:00.370826
266, 179.06333962408826, 2021-03-18 15:03:01.227654
267, 179.6320034279488, 2021-03-18 15:03:01.796317
268, 180.1015156880021, 2021-03-18 15:03:02.265826
269, 181.0914674550295, 2021-03-18 15:03:03.255781
270, 182.72551760217175, 2021-03-18 15:03:04.889824
271, 183.02375224302523, 2021-03-18 15:03:05.188068
272, 184.43697536597028, 2021-03-18 15:03:06.601288
273, 184.53671009698883, 2021-03-18 15:03:06.701026
274, 185.13062262302265, 2021-03-18 15:03:07.294936
275, 185.74034109013155, 2021-03-18 15:03:07.904654
276, 186.1896013841033, 2021-03-18 15:03:08.353917
277, 187.0501191620715, 2021-03-18 15:03:09.214431
278, 187.60388949303888, 2021-03-18 15:03:09.768203
279, 187.96396860899404, 2021-03-18 15:03:10.128284
280, 189.92547399015166, 2021-03-18 15:03:12.089785
281, 191.11499548517168, 2021-03-18 15:03:13.279304
282, 191.29420389211737, 2021-03-18 15:03:13.458520
283, 191.51581001398154, 2021-03-18 15:03:13.680125
284, 192.67957641603425, 2021-03-18 15:03:14.843882
285, 193.4425810261164, 2021-03-18 15:03:15.606896
286, 193.6482492319774, 2021-03-18 15:03:15.812563
287, 193.71951703703962, 2021-03-18 15:03:15.883833
288, 194.20659537310712, 2021-03-18 15:03:16.370911
289, 194.478342626011, 2021-03-18 15:03:16.642657
290, 194.5503284430597, 2021-03-18 15:03:16.714644
291, 194.6877478819806, 2021-03-18 15:03:16.852064
292, 194.93012168211862, 2021-03-18 15:03:17.094438
293, 196.01457366603427, 2021-03-18 15:03:18.178887
294, 196.0588699639775, 2021-03-18 15:03:18.223186
295, 197.15354765299708, 2021-03-18 15:03:19.317861
296, 197.5388290300034, 2021-03-18 15:03:19.703144
297, 197.74329602904618, 2021-03-18 15:03:19.907610
298, 198.8952484340407, 2021-03-18 15:03:21.059560
299, 199.2778790090233, 2021-03-18 15:03:21.442195
300, 200.83476076601073, 2021-03-18 15:03:22.999073
301, 201.1884525141213, 2021-03-18 15:03:23.352768
302, 201.58610239601694, 2021-03-18 15:03:23.750417
303, 202.24455244117416, 2021-03-18 15:03:24.408867
304, 202.7935928341467, 2021-03-18 15:03:24.957908
305, 203.9310875730589, 2021-03-18 15:03:26.095397
306, 203.94062873208895, 2021-03-18 15:03:26.104944
307, 204.107655354077, 2021-03-18 15:03:26.271971
308, 204.28534101811238, 2021-03-18 15:03:26.449657
309, 204.5511427449528, 2021-03-18 15:03:26.715458
310, 207.35478984098881, 2021-03-18 15:03:29.519101
311, 207.64831158495508, 2021-03-18 15:03:29.812626
312, 207.73751015216112, 2021-03-18 15:03:29.901826
313, 208.6191594421398, 2021-03-18 15:03:30.783474
314, 211.3803656741511, 2021-03-18 15:03:33.544675
315, 212.15263693709858, 2021-03-18 15:03:34.316948
316, 213.82008318812586, 2021-03-18 15:03:35.984395
317, 214.20614252705127, 2021-03-18 15:03:36.370458
318, 214.34874922409654, 2021-03-18 15:03:36.513065
319, 214.43665632116608, 2021-03-18 15:03:36.600972
320, 214.65683105797507, 2021-03-18 15:03:36.821146
321, 214.68594991206191, 2021-03-18 15:03:36.850266
322, 215.18778337095864, 2021-03-18 15:03:37.352099
323, 216.07279135705903, 2021-03-18 15:03:38.237101
324, 217.24053111695684, 2021-03-18 15:03:39.404843
325, 218.1855517490767, 2021-03-18 15:03:40.349865
326, 218.49502210412174, 2021-03-18 15:03:40.659338
327, 218.62731085112318, 2021-03-18 15:03:40.791626
328, 220.34603147394955, 2021-03-18 15:03:42.510343
329, 222.17939210007899, 2021-03-18 15:03:44.343700
330, 222.71164157101884, 2021-03-18 15:03:44.875954
331, 223.09386294707656, 2021-03-18 15:03:45.258178
332, 223.51717398501933, 2021-03-18 15:03:45.681486
333, 225.18181917304173, 2021-03-18 15:03:47.346133
334, 225.48184449714608, 2021-03-18 15:03:47.646160
335, 227.78977545211092, 2021-03-18 15:03:49.954088
336, 227.84639524202794, 2021-03-18 15:03:50.010711
337, 228.9875746059697, 2021-03-18 15:03:51.151887
338, 229.089611829957, 2021-03-18 15:03:51.253928
339, 229.66746351704933, 2021-03-18 15:03:51.831778
340, 230.25896004401147, 2021-03-18 15:03:52.423274
341, 230.6564212150406, 2021-03-18 15:03:52.820734
342, 231.02091848105192, 2021-03-18 15:03:53.185234
343, 232.77686222898774, 2021-03-18 15:03:54.941175
344, 233.0280835130252, 2021-03-18 15:03:55.192399
345, 233.6045822040178, 2021-03-18 15:03:55.768897
346, 235.2004348700866, 2021-03-18 15:03:57.364748
347, 235.4138772659935, 2021-03-18 15:03:57.578193
348, 235.4997797301039, 2021-03-18 15:03:57.664096
349, 236.1257498441264, 2021-03-18 15:03:58.290064
350, 236.3958629190456, 2021-03-18 15:03:58.560178
351, 236.51221983903088, 2021-03-18 15:03:58.676536
352, 236.7895125199575, 2021-03-18 15:03:58.953828
353, 237.41053454508074, 2021-03-18 15:03:59.574850
354, 237.52910136803985, 2021-03-18 15:03:59.693417
355, 237.99365771003067, 2021-03-18 15:04:00.157973
356, 240.40273840515874, 2021-03-18 15:04:02.567045
357, 241.0488051441498, 2021-03-18 15:04:03.213118
358, 241.340161181055, 2021-03-18 15:04:03.504477
359, 241.5488838790916, 2021-03-18 15:04:03.713199
360, 244.79070335906, 2021-03-18 15:04:06.955012
