03/18/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 16:53, W29, 16, Fair, CLR, 15, 8.9, 17.2, 13.9, 67%, NA, NA, 76.53, 1020.2, , , 
---
Minute since start, Events per minute
1, 85
2, 83
3, 86
4, 100
5, 81
6, 88
7, 97
8, 66
9, 97
10, 93
11, 91
12, 88
13, 79
14, 100
15, 97
16, 87
17, 71
18, 83
19, 82
20, 77
21, 97
22, 95
23, 82
24, 75
25, 73
26, 108
27, 85
28, 98
29, 88
30, 69
31, 98
32, 69
33, 75
34, 78
35, 80
36, 75
37, 82
38, 86
39, 65
40, 78
41, 91
42, 91
43, 88
44, 86
45, 86
46, 83
47, 77
48, 61
49, 80
50, 79
51, 85
52, 91
53, 81
54, 70
55, 70
56, 94
57, 88
58, 63
59, 88
60, 88
