03/18/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 22:53, Calm, 16, Fair, CLR, 11.1, 9.4, 15, 10, 89%, NA, NA, 76.56, 1020.5, , , 
---
Minute since start, Events per minute
1, 83
2, 84
3, 71
4, 92
5, 94
6, 80
7, 77
8, 72
9, 80
10, 71
11, 77
12, 76
13, 83
14, 92
15, 94
16, 91
17, 103
18, 85
19, 78
20, 81
21, 113
22, 85
23, 69
24, 87
25, 93
26, 93
27, 80
28, 84
29, 73
30, 97
31, 105
32, 93
33, 87
34, 69
35, 89
36, 91
37, 71
38, 92
39, 77
40, 87
41, 88
42, 106
43, 77
44, 81
45, 94
46, 96
47, 95
48, 98
49, 75
50, 73
51, 72
52, 98
53, 98
54, 91
55, 85
56, 84
57, 93
58, 97
59, 78
60, 76
