03/18/21 03:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 03:53, Calm, 16, A Few Clouds, FEW120, 8.3, 5.6, , , 83%, NA, NA, 76.45, 1019.1, , , 
---
Minute since start, Events per minute
1, 79
2, 90
3, 94
4, 61
5, 75
6, 85
7, 84
8, 70
9, 77
10, 88
11, 85
12, 80
13, 89
14, 87
15, 105
16, 86
17, 84
18, 67
19, 90
20, 78
21, 79
22, 88
23, 80
24, 77
25, 77
26, 77
27, 89
28, 87
29, 84
30, 93
31, 86
32, 90
33, 81
34, 94
35, 89
36, 93
37, 72
38, 81
39, 79
40, 70
41, 82
42, 77
43, 79
44, 76
45, 85
46, 93
47, 92
48, 69
49, 92
50, 80
51, 57
52, 82
53, 92
54, 89
55, 92
56, 73
57, 82
58, 88
59, 94
60, 69
