03/18/21 04:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 04:53, W5, 16, Overcast, OVC110, 8.9, 6.1, 9.4, 8.3, 83%, NA, NA, 76.45, 1019.3, , , 
---
Minute since start, Events per minute
1, 76
2, 90
3, 89
4, 71
5, 88
6, 86
7, 90
8, 73
9, 84
10, 84
11, 82
12, 78
13, 96
14, 84
15, 82
16, 68
17, 78
18, 83
19, 95
20, 78
21, 86
22, 91
23, 87
24, 96
25, 78
26, 99
27, 98
28, 86
29, 77
30, 86
31, 92
32, 82
33, 79
34, 69
35, 89
36, 74
37, 76
38, 76
39, 94
40, 98
41, 107
42, 80
43, 95
44, 101
45, 99
46, 70
47, 92
48, 89
49, 86
50, 76
51, 98
52, 84
53, 79
54, 75
55, 84
56, 71
57, 82
58, 80
59, 80
60, 84
