03/18/21 05:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 06:53, NE5, 16, Mostly Cloudy, BKN100, 9.4, 6.7, , , 83%, NA, NA, 76.5, 1019.8, , , 
---
Minute since start, Events per minute
1, 88
2, 92
3, 76
4, 80
5, 82
6, 97
7, 73
8, 74
9, 93
10, 85
11, 71
12, 76
13, 74
14, 78
15, 84
16, 71
17, 85
18, 96
19, 65
20, 74
21, 80
22, 86
23, 80
24, 65
25, 79
26, 70
27, 90
28, 94
29, 80
30, 91
31, 92
32, 91
33, 106
34, 94
35, 80
36, 82
37, 93
38, 79
39, 93
40, 89
41, 92
42, 67
43, 86
44, 93
45, 82
46, 87
47, 78
48, 94
49, 73
50, 92
51, 81
52, 98
53, 77
54, 73
55, 93
56, 97
57, 70
58, 81
59, 94
60, 98
