03/18/21 23:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 23:53, Calm, 16, Fair, CLR, 10, 7.8, , , 86%, NA, NA, 76.56, 1020.6, , , 
---
Minute since start, Events per minute
1, 94
2, 72
3, 71
4, 79
5, 93
6, 90
7, 99
8, 78
9, 87
10, 96
11, 103
12, 89
13, 80
14, 84
15, 74
16, 87
17, 82
18, 94
19, 89
20, 91
21, 98
22, 78
23, 85
24, 90
25, 87
26, 82
27, 97
28, 85
29, 78
30, 81
31, 81
32, 92
33, 77
34, 78
35, 74
36, 68
37, 80
38, 78
39, 84
40, 107
41, 83
42, 81
43, 79
44, 80
45, 91
46, 86
47, 66
48, 83
49, 72
50, 85
51, 77
52, 94
53, 87
54, 95
55, 87
56, 77
57, 72
58, 73
59, 115
60, 76
