03/19/21 16:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
19, 17:53, W26, 16, Mostly Cloudy, SCT007SCT035BKN100, 14.4, 11.7, , , 84%, NA, NA, 76.45, 1019.1, , , 
---
Minute since start, Events per minute
1, 91
2, 91
3, 83
4, 78
5, 92
6, 79
7, 73
8, 80
9, 84
10, 82
11, 70
12, 91
13, 85
14, 66
15, 80
16, 68
17, 86
18, 77
19, 81
20, 92
21, 86
22, 91
23, 96
24, 88
25, 91
26, 82
27, 73
28, 74
29, 82
30, 87
31, 107
32, 90
33, 70
34, 73
35, 107
36, 95
37, 73
38, 84
39, 68
40, 88
41, 71
42, 87
43, 86
44, 66
45, 85
46, 83
47, 90
48, 88
49, 84
50, 93
51, 84
52, 100
53, 83
54, 76
55, 85
56, 90
57, 92
58, 102
59, 91
60, 79
