03/19/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
19, 18:53, W13, 16, Mostly Cloudy, FEW005BKN070BKN090, 13.9, 11.7, , , 87%, NA, NA, 76.43, 1018.9, , , 
---
Minute since start, Events per minute
1, 90
2, 87
3, 74
4, 72
5, 87
6, 89
7, 101
8, 87
9, 94
10, 100
11, 68
12, 96
13, 82
14, 80
15, 87
16, 97
17, 87
18, 79
19, 72
20, 98
21, 78
22, 70
23, 79
24, 76
25, 85
26, 91
27, 96
28, 83
29, 97
30, 72
31, 68
32, 87
33, 87
34, 83
35, 90
36, 74
37, 76
38, 108
39, 82
40, 92
41, 72
42, 89
43, 74
44, 66
45, 75
46, 90
47, 85
48, 82
49, 80
50, 86
51, 96
52, 85
53, 70
54, 70
55, 83
56, 98
57, 92
58, 68
59, 88
60, 78
