03/19/21 22:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
19, 23:53, Calm, 16, Overcast, FEW060OVC110, 13.3, 11.7, , , 90%, NA, NA, 76.5, 1020.0, , , 
---
Minute since start, Events per minute
1, 81
2, 83
3, 72
4, 82
5, 80
6, 78
7, 89
8, 93
9, 86
10, 81
11, 87
12, 77
13, 80
14, 85
15, 75
16, 91
17, 91
18, 98
19, 87
20, 84
21, 86
22, 90
23, 71
24, 87
25, 92
26, 79
27, 89
28, 92
29, 88
30, 80
31, 87
32, 77
33, 60
34, 87
35, 78
36, 79
37, 83
38, 69
39, 74
40, 73
41, 101
42, 79
43, 84
44, 83
45, 71
46, 79
47, 83
48, 94
49, 93
50, 83
51, 85
52, 81
53, 82
54, 75
55, 84
56, 72
57, 79
58, 88
59, 79
60, 69
