03/19/21 07:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
19, 05:53, W8, 16, Fair, CLR, 7.8, 6.7, , , 93%, 6.7, NA, 76.53, 1020.1, , , 
---
Minute since start, Events per minute
1, 90
2, 87
3, 92
4, 82
5, 89
6, 87
7, 98
8, 80
9, 80
10, 80
11, 70
12, 74
13, 91
14, 85
15, 89
16, 99
17, 73
18, 94
19, 84
20, 87
21, 86
22, 101
23, 77
24, 88
25, 77
26, 108
27, 69
28, 87
29, 81
30, 95
31, 73
32, 82
33, 74
34, 70
35, 90
36, 92
37, 98
38, 76
39, 78
40, 84
41, 73
42, 86
43, 92
44, 92
45, 88
46, 78
47, 77
48, 105
49, 83
50, 77
51, 87
52, 88
53, 72
54, 84
55, 75
56, 94
57, 88
58, 67
59, 77
60, 83
