03/20/21 00:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 00:53, NE10, 16, Overcast, BKN070OVC095, 13.9, 11.1, , , 83%, NA, NA, 76.56, 1020.4, , , 
---
Minute since start, Events per minute
1, 84
2, 94
3, 75
4, 86
5, 90
6, 78
7, 91
8, 81
9, 82
10, 71
11, 76
12, 85
13, 95
14, 86
15, 86
16, 90
17, 89
18, 84
19, 75
20, 85
21, 79
22, 87
23, 90
24, 84
25, 80
26, 75
27, 94
28, 98
29, 83
30, 66
31, 66
32, 69
33, 83
34, 90
35, 93
36, 89
37, 90
38, 104
39, 86
40, 79
41, 91
42, 86
43, 83
44, 94
45, 73
46, 100
47, 73
48, 72
49, 80
50, 83
51, 99
52, 97
53, 79
54, 74
55, 89
56, 85
57, 79
58, 80
59, 95
60, 73
