03/20/21 09:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 09:53, N23, 16, Fair, CLR, 17.2, 0, , , 31%, NA, NA, 76.66, 1021.8, , , 
---
Minute since start, Events per minute
1, 80
2, 82
3, 78
4, 90
5, 93
6, 79
7, 76
8, 85
9, 79
10, 70
11, 81
12, 99
13, 86
14, 78
15, 84
16, 81
17, 73
18, 84
19, 82
20, 95
21, 95
22, 101
23, 92
24, 80
25, 91
26, 76
27, 96
28, 78
29, 88
30, 88
31, 79
32, 99
33, 95
34, 89
35, 99
36, 89
37, 92
38, 81
39, 70
40, 82
41, 82
42, 92
43, 82
44, 82
45, 81
46, 101
47, 85
48, 92
49, 87
50, 92
51, 84
52, 88
53, 81
54, 85
55, 87
56, 93
57, 93
58, 78
59, 78
60, 89
61, 1
