03/20/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 12:53, NW21, 16, Fair, CLR, 19.4, -0.6, , , 26%, NA, NA, 76.58, 1020.8, , , 
---
Minute since start, Events per minute
1, 90
2, 98
3, 75
4, 94
5, 93
6, 100
7, 81
8, 86
9, 84
10, 74
11, 89
12, 83
13, 81
14, 80
15, 98
16, 83
17, 85
18, 79
19, 83
20, 82
21, 75
22, 100
23, 98
24, 76
25, 85
26, 81
27, 76
28, 97
29, 94
30, 93
31, 91
32, 87
33, 67
34, 73
35, 76
36, 86
37, 95
38, 91
39, 80
40, 84
41, 84
42, 72
43, 81
44, 82
45, 89
46, 84
47, 85
48, 76
49, 70
50, 72
51, 77
52, 88
53, 85
54, 88
55, 73
56, 79
57, 81
58, 85
59, 83
60, 87
