03/20/21 13:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 12:53, NW21, 16, Fair, CLR, 19.4, -0.6, , , 26%, NA, NA, 76.58, 1020.8, , , 
---
Incident number, relative time since start, timestamp
1, 0.2900394690223038, 2021-03-20 14:00:02.620278
2, 1.0475601230282336, 2021-03-20 14:00:03.377819
3, 1.3189656310714781, 2021-03-20 14:00:03.649237
4, 3.4797283159568906, 2021-03-20 14:00:05.809990
5, 4.343568306881934, 2021-03-20 14:00:06.673837
6, 5.625065576983616, 2021-03-20 14:00:07.955332
7, 6.646633319091052, 2021-03-20 14:00:08.976888
8, 6.647235509008169, 2021-03-20 14:00:08.977508
9, 6.677552833920345, 2021-03-20 14:00:09.007826
10, 6.738166132941842, 2021-03-20 14:00:09.068439
11, 7.3272154938895255, 2021-03-20 14:00:09.657488
12, 9.814508674899116, 2021-03-20 14:00:12.144774
13, 10.253643913893029, 2021-03-20 14:00:12.583917
14, 11.029493457870558, 2021-03-20 14:00:13.359766
15, 11.502327465917915, 2021-03-20 14:00:13.832599
16, 11.514913585968316, 2021-03-20 14:00:13.845187
17, 12.471544299041852, 2021-03-20 14:00:14.801813
18, 12.567814988084137, 2021-03-20 14:00:14.898088
19, 13.04339602892287, 2021-03-20 14:00:15.373668
20, 14.430707114050165, 2021-03-20 14:00:16.760979
21, 15.091896029887721, 2021-03-20 14:00:17.422169
22, 15.266379433916882, 2021-03-20 14:00:17.596651
23, 17.265240495093167, 2021-03-20 14:00:19.595507
24, 17.56283608893864, 2021-03-20 14:00:19.893109
25, 17.754593025892973, 2021-03-20 14:00:20.084866
26, 20.214158963877708, 2021-03-20 14:00:22.544425
27, 20.257536215009168, 2021-03-20 14:00:22.587810
28, 22.53803076199256, 2021-03-20 14:00:24.868299
29, 22.563154669944197, 2021-03-20 14:00:24.893428
30, 22.806201848899946, 2021-03-20 14:00:25.136475
31, 22.926664676051587, 2021-03-20 14:00:25.256938
32, 23.177144278073683, 2021-03-20 14:00:25.507417
33, 23.439392223022878, 2021-03-20 14:00:25.769665
34, 23.584555523004383, 2021-03-20 14:00:25.914829
35, 25.189949749968946, 2021-03-20 14:00:27.520217
36, 26.13520151609555, 2021-03-20 14:00:28.465471
37, 26.200974497944117, 2021-03-20 14:00:28.531248
38, 27.55990665499121, 2021-03-20 14:00:29.890179
39, 27.92029718309641, 2021-03-20 14:00:30.250569
40, 27.96508444007486, 2021-03-20 14:00:30.295358
41, 28.191017569042742, 2021-03-20 14:00:30.521291
42, 28.19140026392415, 2021-03-20 14:00:30.521674
43, 30.463271837914363, 2021-03-20 14:00:32.793539
44, 31.742772307945415, 2021-03-20 14:00:34.073045
45, 32.364159510005265, 2021-03-20 14:00:34.694433
46, 32.510926741873845, 2021-03-20 14:00:34.841200
47, 33.21583672892302, 2021-03-20 14:00:35.546110
48, 33.58552849688567, 2021-03-20 14:00:35.915802
49, 34.14494287408888, 2021-03-20 14:00:36.475216
50, 34.34996070689522, 2021-03-20 14:00:36.680234
51, 35.01851524901576, 2021-03-20 14:00:37.348789
52, 36.15744149591774, 2021-03-20 14:00:38.487714
53, 37.31391534907743, 2021-03-20 14:00:39.644187
54, 37.8815373419784, 2021-03-20 14:00:40.211810
55, 38.12346776505001, 2021-03-20 14:00:40.453736
56, 38.211381542962044, 2021-03-20 14:00:40.541655
57, 38.95388774597086, 2021-03-20 14:00:41.284160
58, 40.39274417096749, 2021-03-20 14:00:42.723017
59, 41.07938120700419, 2021-03-20 14:00:43.409654
60, 41.30892554298043, 2021-03-20 14:00:43.639199
61, 41.78778674802743, 2021-03-20 14:00:44.118059
62, 41.96268899505958, 2021-03-20 14:00:44.292962
63, 42.972129493020475, 2021-03-20 14:00:45.302402
64, 43.39254995598458, 2021-03-20 14:00:45.722817
65, 43.478046401869506, 2021-03-20 14:00:45.808320
66, 43.58160991803743, 2021-03-20 14:00:45.911884
67, 43.6282344320789, 2021-03-20 14:00:45.958508
68, 44.6952452219557, 2021-03-20 14:00:47.025514
69, 45.086997024016455, 2021-03-20 14:00:47.417270
70, 47.11864236998372, 2021-03-20 14:00:49.448911
71, 47.68023937405087, 2021-03-20 14:00:50.010512
72, 48.040721223922446, 2021-03-20 14:00:50.370994
73, 48.70824102801271, 2021-03-20 14:00:51.038513
74, 48.99743464705534, 2021-03-20 14:00:51.327709
75, 49.16520028188825, 2021-03-20 14:00:51.495473
76, 49.994934405898675, 2021-03-20 14:00:52.325206
77, 50.46187782404013, 2021-03-20 14:00:52.792151
78, 50.520889522042125, 2021-03-20 14:00:52.851163
79, 50.61510416097008, 2021-03-20 14:00:52.945378
80, 50.81032110005617, 2021-03-20 14:00:53.140595
81, 51.54365993500687, 2021-03-20 14:00:53.873932
82, 52.58566812006757, 2021-03-20 14:00:54.915941
83, 53.26998264808208, 2021-03-20 14:00:55.600256
84, 53.93674692697823, 2021-03-20 14:00:56.267021
85, 54.25063158408739, 2021-03-20 14:00:56.580905
