03/20/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 02:53, Vrbl11, 16, Mostly Cloudy, BKN090, 13.3, 9.4, , , 77%, NA, NA, 76.5, 1019.7, , , 
---
Minute since start, Events per minute
1, 77
2, 78
3, 80
4, 101
5, 85
6, 83
7, 84
8, 75
9, 84
10, 72
11, 80
12, 70
13, 80
14, 97
15, 72
16, 96
17, 81
18, 98
19, 80
20, 104
21, 73
22, 68
23, 100
24, 70
25, 83
26, 86
27, 85
28, 111
29, 90
30, 70
31, 88
32, 91
33, 71
34, 90
35, 89
36, 77
37, 83
38, 103
39, 88
40, 79
41, 81
42, 79
43, 88
44, 90
45, 94
46, 72
47, 81
48, 101
49, 88
50, 81
51, 92
52, 91
53, 82
54, 76
55, 76
56, 71
57, 94
58, 87
59, 66
60, 86
