03/20/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 02:53, Vrbl11, 16, Mostly Cloudy, BKN090, 13.3, 9.4, , , 77%, NA, NA, 76.5, 1019.7, , , 
---
Incident number, relative time since start, timestamp
1, 0.187012969981879, 2021-03-20 02:00:02.756661
2, 0.7325067680794746, 2021-03-20 02:00:03.302193
3, 1.355265498161316, 2021-03-20 02:00:03.924964
4, 2.3101415091659874, 2021-03-20 02:00:04.879827
5, 2.550608759978786, 2021-03-20 02:00:05.120294
6, 3.934143415186554, 2021-03-20 02:00:06.503825
7, 5.202032446162775, 2021-03-20 02:00:07.771728
8, 5.915303176036105, 2021-03-20 02:00:08.484997
9, 6.439303294988349, 2021-03-20 02:00:09.009004
10, 10.817596758017316, 2021-03-20 02:00:13.387282
11, 10.897708892123774, 2021-03-20 02:00:13.467409
12, 11.574272396974266, 2021-03-20 02:00:14.143973
13, 11.820850267075002, 2021-03-20 02:00:14.390551
14, 12.713599048089236, 2021-03-20 02:00:15.283291
15, 12.842779809143394, 2021-03-20 02:00:15.412481
16, 12.898469877196476, 2021-03-20 02:00:15.468171
17, 13.831085878191516, 2021-03-20 02:00:16.400780
18, 14.095075621036813, 2021-03-20 02:00:16.664776
19, 15.01543762604706, 2021-03-20 02:00:17.585137
20, 15.059940529987216, 2021-03-20 02:00:17.629642
21, 15.281557067064568, 2021-03-20 02:00:17.851258
22, 15.739316258113831, 2021-03-20 02:00:18.309017
23, 18.659011839190498, 2021-03-20 02:00:21.228703
24, 19.743308930192143, 2021-03-20 02:00:22.313008
25, 19.978895002044737, 2021-03-20 02:00:22.548596
26, 20.035456461133435, 2021-03-20 02:00:22.605158
27, 22.071072180988267, 2021-03-20 02:00:24.640767
