03/20/21 22:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 22:53, N21, 16, Fair, CLR, 12.8, 0.6, 20.6, 12.2, 44%, NA, NA, 76.53, 1020.1, , , 
---
Minute since start, Events per minute
1, 86
2, 86
3, 90
4, 85
5, 81
6, 92
7, 89
8, 80
9, 85
10, 92
11, 72
12, 79
13, 91
14, 88
15, 83
16, 108
17, 88
18, 75
19, 87
20, 83
21, 77
22, 90
23, 62
24, 82
25, 83
26, 86
27, 76
28, 98
29, 73
30, 87
31, 86
32, 58
33, 91
34, 87
35, 73
36, 78
37, 86
38, 72
39, 100
40, 81
41, 96
42, 85
43, 86
44, 70
45, 84
46, 89
47, 96
48, 95
49, 74
50, 96
51, 86
52, 108
53, 89
54, 83
55, 89
56, 92
57, 82
58, 95
59, 85
60, 68
