03/20/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 04:53, W13, 16, Fair, CLR, 13.9, 3.9, 15, 12.8, 51%, NA, NA, 76.45, 1019.2, , , 
---
Minute since start, Events per minute
1, 74
2, 84
3, 76
4, 76
5, 94
6, 92
7, 80
8, 64
9, 99
10, 96
11, 89
12, 91
13, 94
14, 83
15, 89
16, 81
17, 76
18, 74
19, 85
20, 81
21, 67
22, 88
23, 85
24, 83
25, 86
26, 79
27, 74
28, 80
29, 63
30, 82
31, 85
32, 92
33, 89
34, 83
35, 92
36, 87
37, 77
38, 77
39, 74
40, 71
41, 86
42, 97
43, 83
44, 95
45, 107
46, 82
47, 81
48, 78
49, 72
50, 78
51, 75
52, 100
53, 90
54, 82
55, 68
56, 67
57, 88
58, 93
59, 81
60, 88
