03/20/21 04:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 05:53, Vrbl8, 16, Fair, CLR, 15, 0.6, , , 38%, NA, NA, 76.48, 1019.4, , , 
---
Minute since start, Events per minute
1, 93
2, 90
3, 88
4, 86
5, 71
6, 86
7, 87
8, 88
9, 78
10, 101
11, 86
12, 72
13, 89
14, 110
15, 88
16, 84
17, 94
18, 68
19, 74
20, 93
21, 86
22, 77
23, 77
24, 102
25, 101
26, 73
27, 78
28, 95
29, 77
30, 89
31, 94
32, 84
33, 81
34, 67
35, 87
36, 78
37, 97
38, 76
39, 81
40, 82
41, 72
42, 99
43, 95
44, 79
45, 79
46, 88
47, 95
48, 91
49, 84
50, 92
51, 86
52, 88
53, 84
54, 93
55, 75
56, 92
57, 80
58, 73
59, 77
60, 72
