03/20/21 06:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 06:53, Vrbl10, 16, Fair, CLR, 14.4, -0.6, , , 36%, NA, NA, 76.48, 1019.6, , , 
---
Minute since start, Events per minute
1, 87
2, 86
3, 57
4, 86
5, 83
6, 81
7, 87
8, 70
9, 92
10, 92
11, 83
12, 76
13, 77
14, 81
15, 66
16, 107
17, 81
18, 90
19, 70
20, 84
21, 87
22, 105
23, 85
24, 72
25, 67
26, 79
27, 67
28, 111
29, 80
30, 91
31, 76
32, 110
33, 106
34, 93
35, 90
36, 81
37, 86
38, 71
39, 98
40, 103
41, 88
42, 76
43, 89
44, 87
45, 77
46, 84
47, 93
48, 81
49, 82
50, 87
51, 83
52, 76
53, 78
54, 81
55, 87
56, 87
57, 73
58, 89
59, 85
60, 98
61, 2
