03/21/21 10:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 10:53, N19G34, 16, Fair, CLR, 18.3, 0.6, 18.3, 6.7, 31%, NA, NA, 76.5, 1019.8, , , 
---
Minute since start, Events per minute
1, 81
2, 82
3, 78
4, 75
5, 78
6, 71
7, 93
8, 97
9, 85
10, 84
11, 90
12, 74
13, 74
14, 82
15, 111
16, 85
17, 85
18, 103
19, 75
20, 78
21, 83
22, 80
23, 67
24, 94
25, 74
26, 87
27, 88
28, 82
29, 90
30, 80
31, 69
32, 70
33, 80
34, 85
35, 72
36, 98
37, 81
38, 87
39, 91
40, 98
41, 78
42, 82
43, 92
44, 78
45, 83
46, 105
47, 97
48, 94
49, 80
50, 97
51, 87
52, 99
53, 81
54, 98
55, 83
56, 83
57, 80
58, 83
59, 73
60, 87
