03/21/21 11:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 11:53, NE21G27, 16, Fair, CLR, 20.6, 0.6, , , 26%, NA, NA, 76.48, 1019.6, , , 
---
Minute since start, Events per minute
1, 84
2, 87
3, 81
4, 66
5, 76
6, 76
7, 89
8, 98
9, 81
10, 94
11, 86
12, 85
13, 91
14, 94
15, 70
16, 82
17, 86
18, 100
19, 82
20, 90
21, 87
22, 85
23, 106
24, 79
25, 72
26, 70
27, 78
28, 75
29, 93
30, 92
31, 82
32, 88
33, 105
34, 72
35, 80
36, 84
37, 99
38, 86
39, 81
40, 88
41, 87
42, 74
43, 72
44, 82
45, 88
46, 89
47, 75
48, 86
49, 77
50, 89
51, 94
52, 92
53, 93
54, 93
55, 79
56, 80
57, 84
58, 91
59, 106
60, 77
