03/21/21 13:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 13:53, NW24G45, 16, Fair, CLR, 21.1, 0, , , 25%, NA, NA, 76.4, 1018.4, , , 
---
Minute since start, Events per minute
1, 83
2, 80
3, 69
4, 81
5, 100
6, 96
7, 86
8, 66
9, 76
10, 89
11, 96
12, 69
13, 84
14, 93
15, 98
16, 98
17, 95
18, 98
19, 98
20, 72
21, 88
22, 76
23, 78
24, 96
25, 95
26, 68
27, 72
28, 74
29, 66
30, 99
31, 73
32, 111
33, 84
34, 89
35, 88
36, 65
37, 73
38, 76
39, 88
40, 76
41, 83
42, 85
43, 93
44, 88
45, 93
46, 69
47, 76
48, 89
49, 72
50, 85
51, 90
52, 94
53, 79
54, 75
55, 82
56, 68
57, 109
58, 80
59, 88
60, 62
