03/21/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 15:53, N32G40, 16, A Few Clouds, FEW050, 21.7, -2.8, , , 19%, NA, NA, 76.35, 1017.9, , , 
---
Minute since start, Events per minute
1, 85
2, 93
3, 87
4, 92
5, 86
6, 76
7, 80
8, 81
9, 79
10, 92
11, 94
12, 79
13, 85
14, 73
15, 83
16, 81
17, 94
18, 98
19, 94
20, 82
21, 85
22, 79
23, 103
24, 80
25, 92
26, 88
27, 101
28, 100
29, 92
30, 83
31, 87
32, 94
33, 95
34, 70
35, 87
36, 81
37, 80
38, 81
39, 84
40, 86
41, 91
42, 68
43, 75
44, 101
45, 85
46, 82
47, 96
48, 85
49, 77
50, 81
51, 84
52, 89
53, 80
54, 87
55, 77
56, 87
57, 97
58, 99
59, 76
60, 95
