03/21/21 17:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 18:53, Vrbl5, 16, Fair, CLR, 17.2, 1.7, , , 35%, NA, NA, 76.4, 1018.5, , , 
---
Minute since start, Events per minute
1, 83
2, 79
3, 85
4, 94
5, 86
6, 78
7, 97
8, 90
9, 89
10, 86
11, 91
12, 87
13, 88
14, 83
15, 87
16, 88
17, 81
18, 82
19, 77
20, 87
21, 70
22, 82
23, 80
24, 88
25, 85
26, 85
27, 83
28, 79
29, 71
30, 76
31, 75
32, 86
33, 76
34, 93
35, 103
36, 85
37, 95
38, 77
39, 76
40, 76
41, 79
42, 85
43, 91
44, 85
45, 99
46, 89
47, 94
48, 79
49, 100
50, 70
51, 93
52, 81
53, 82
54, 86
55, 73
56, 95
57, 98
58, 85
59, 79
60, 75
