03/22/21 09:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 17:53, N27G45, 16, Fair, CLR, 20, -2.2, , , 22%, NA, NA, 76.35, 1018.0, , , 
---
Minute since start, Events per minute
1, 84
2, 84
3, 101
4, 93
5, 81
6, 76
7, 76
8, 93
9, 99
10, 76
11, 91
12, 84
13, 85
14, 81
15, 99
16, 91
17, 76
18, 106
19, 94
20, 97
21, 84
22, 89
23, 80
24, 77
25, 97
26, 104
27, 90
28, 80
29, 80
30, 94
31, 75
32, 80
33, 78
34, 94
35, 80
36, 92
37, 86
38, 72
39, 77
40, 86
41, 75
42, 91
43, 83
44, 89
45, 75
46, 84
47, 80
48, 76
49, 102
50, 66
51, 101
52, 78
53, 72
54, 74
55, 71
56, 86
57, 85
58, 92
59, 91
60, 86
