03/22/21 14:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
22, 14:53, W26G35, 16, Fair, CLR, 21.1, 6.7, , , 39%, NA, NA, 76.25, 1016.6, , , 
---
Minute since start, Events per minute
1, 67
2, 84
3, 73
4, 102
5, 87
6, 85
7, 85
8, 87
9, 83
10, 76
11, 84
12, 84
13, 85
14, 71
15, 77
16, 87
17, 83
18, 81
19, 80
20, 86
21, 70
22, 84
23, 83
24, 88
25, 84
26, 84
27, 96
28, 92
29, 70
30, 85
31, 84
32, 84
33, 83
34, 90
35, 72
36, 103
37, 84
38, 86
39, 81
40, 93
41, 86
42, 90
43, 83
44, 81
45, 80
46, 86
47, 103
48, 78
49, 73
50, 70
51, 96
52, 76
53, 81
54, 80
55, 79
56, 87
57, 89
58, 72
59, 74
60, 90
