03/22/21 23:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
22, 22:53, NW27, 16, Fair, CLR, 12.2, 6.1, 20, 12.2, 67%, NA, NA, 76.2, 1015.8, , , 
---
Minute since start, Events per minute
1, 75
2, 73
3, 91
4, 83
5, 92
6, 71
7, 83
8, 94
9, 89
10, 91
11, 79
12, 83
13, 73
14, 89
15, 87
16, 86
17, 84
18, 70
19, 64
20, 72
21, 90
22, 91
23, 79
24, 89
25, 105
26, 96
27, 91
28, 95
29, 87
30, 74
31, 86
32, 91
33, 81
34, 88
35, 81
36, 105
37, 79
38, 89
39, 105
40, 91
41, 77
42, 91
43, 80
44, 81
45, 94
46, 84
47, 88
48, 106
49, 81
50, 93
51, 95
52, 91
53, 113
54, 76
55, 95
56, 85
57, 95
58, 78
59, 100
60, 77
61, 1
