03/23/21 09:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 09:53, W13, 16, Fair, CLR, 15, 5, , , 51%, NA, NA, 76.02, 1013.4, , , 
---
Minute since start, Events per minute
1, 89
2, 86
3, 87
4, 70
5, 80
6, 83
7, 87
8, 81
9, 97
10, 85
11, 85
12, 73
13, 80
14, 87
15, 86
16, 84
17, 83
18, 88
19, 86
20, 82
21, 81
22, 98
23, 104
24, 85
25, 83
26, 99
27, 86
28, 81
29, 88
30, 99
31, 84
32, 84
33, 77
34, 89
35, 74
36, 75
37, 78
38, 99
39, 82
40, 90
41, 95
42, 87
43, 89
44, 86
45, 95
46, 94
47, 83
48, 68
49, 75
50, 73
51, 78
52, 76
53, 82
54, 101
55, 99
56, 89
57, 86
58, 95
59, 68
60, 97
