03/23/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 11:53, Vrbl8, 16, A Few Clouds, FEW060, 17.8, 4.4, , , 41%, NA, NA, 76, 1013.1, , , 
---
Minute since start, Events per minute
1, 92
2, 70
3, 88
4, 93
5, 78
6, 88
7, 101
8, 79
9, 93
10, 80
11, 69
12, 76
13, 75
14, 91
15, 108
16, 81
17, 92
18, 91
19, 89
20, 102
21, 81
22, 90
23, 85
24, 86
25, 76
26, 87
27, 107
28, 76
29, 87
30, 78
31, 83
32, 78
33, 84
34, 97
35, 74
36, 103
37, 98
38, 77
39, 74
40, 87
41, 75
42, 95
43, 81
44, 113
45, 92
46, 88
47, 93
48, 69
49, 89
50, 91
51, 105
52, 76
53, 75
54, 107
55, 93
56, 105
57, 88
58, 92
59, 89
60, 75
