03/23/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 14:53, NW21G45, 16, A Few Clouds, FEW080, 21.7, 1.7, , , 27%, NA, NA, 75.82, 1010.9, , , 
---
Minute since start, Events per minute
1, 98
2, 87
3, 85
4, 85
5, 79
6, 70
7, 97
8, 76
9, 96
10, 86
11, 88
12, 77
13, 84
14, 98
15, 79
16, 76
17, 80
18, 90
19, 86
20, 71
21, 98
22, 94
23, 91
24, 84
25, 79
26, 83
27, 87
28, 83
29, 87
30, 87
31, 98
32, 80
33, 88
34, 77
35, 75
36, 91
37, 84
38, 63
39, 95
40, 92
41, 100
42, 83
43, 71
44, 83
45, 95
46, 87
47, 71
48, 84
49, 93
50, 92
51, 72
52, 94
53, 81
54, 70
55, 71
56, 73
57, 73
58, 91
59, 78
60, 78
