03/23/21 16:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 17:53, W29G40, 16, A Few Clouds, FEW060, 17.8, 6.1, , , 46%, NA, NA, 75.82, 1010.6, , , 
---
Minute since start, Events per minute
1, 70
2, 91
3, 65
4, 85
5, 81
6, 88
7, 96
8, 88
9, 67
10, 84
11, 92
12, 83
13, 89
14, 88
15, 87
16, 106
17, 89
18, 82
19, 96
20, 90
21, 83
22, 118
23, 93
24, 112
25, 80
26, 75
27, 76
28, 88
29, 84
30, 73
31, 94
32, 73
33, 92
34, 75
35, 95
36, 78
37, 93
38, 80
39, 94
40, 102
41, 99
42, 81
43, 76
44, 87
45, 92
46, 80
47, 96
48, 87
49, 82
50, 88
51, 67
52, 81
53, 81
54, 87
55, 75
56, 72
57, 91
58, 74
59, 74
60, 92
