03/23/21 19:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 18:53, W23G37, 16, Fair, CLR, 15.6, 5, , , 50%, NA, NA, 75.9, 1011.6, , , 
---
Minute since start, Events per minute
1, 83
2, 79
3, 93
4, 88
5, 86
6, 80
7, 83
8, 95
9, 76
10, 83
11, 89
12, 72
13, 72
14, 76
15, 83
16, 78
17, 76
18, 78
19, 90
20, 78
21, 86
22, 73
23, 87
24, 79
25, 83
26, 80
27, 89
28, 86
29, 92
30, 100
31, 98
32, 101
33, 93
34, 74
35, 91
36, 96
37, 84
38, 87
39, 84
40, 77
41, 61
42, 83
43, 93
44, 96
45, 89
46, 89
47, 89
48, 101
49, 81
50, 78
51, 96
52, 96
53, 94
54, 96
55, 73
56, 87
57, 96
58, 88
59, 77
60, 88
