03/23/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 22:53, N8, 16, Fair, CLR, 10.6, 1.7, 18.3, 10, 54%, NA, NA, 76.12, 1014.8, , , 
---
Minute since start, Events per minute
1, 62
2, 74
3, 88
4, 90
5, 74
6, 80
7, 83
8, 74
9, 98
10, 87
11, 91
12, 77
13, 73
14, 90
15, 91
16, 79
17, 80
18, 79
19, 79
20, 84
21, 86
22, 92
23, 87
24, 96
25, 76
26, 77
27, 72
28, 81
29, 83
30, 87
31, 86
32, 91
33, 72
34, 79
35, 80
36, 96
37, 81
38, 89
39, 87
40, 83
41, 84
42, 85
43, 90
44, 83
45, 78
46, 91
47, 87
48, 97
49, 74
50, 68
51, 91
52, 76
53, 86
54, 86
55, 68
56, 77
57, 69
58, 68
59, 80
60, 101
