03/23/21 02:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 03:53, E8, 16, Fair, CLR, 10.6, 6.1, , , 74%, NA, NA, 76, 1013.2, , , 
---
Incident number, relative time since start, timestamp
1, 1.3692571620922536, 2021-03-23 03:00:03.282327
2, 1.6836006701923907, 2021-03-23 03:00:03.596695
3, 2.8405601421836764, 2021-03-23 03:00:04.753656
4, 2.9676708672195673, 2021-03-23 03:00:04.880779
5, 3.0837219362147152, 2021-03-23 03:00:04.996831
6, 3.7027242090553045, 2021-03-23 03:00:05.615831
7, 3.8126087042037398, 2021-03-23 03:00:05.725719
8, 4.679787619039416, 2021-03-23 03:00:06.592896
9, 6.30076953000389, 2021-03-23 03:00:08.213872
10, 6.973711824044585, 2021-03-23 03:00:08.886799
11, 7.544597733067349, 2021-03-23 03:00:09.457690
12, 8.062863114057109, 2021-03-23 03:00:09.975970
13, 8.571933130035177, 2021-03-23 03:00:10.485042
14, 8.693572932155803, 2021-03-23 03:00:10.606683
15, 9.146168033126742, 2021-03-23 03:00:11.059278
16, 9.194757465040311, 2021-03-23 03:00:11.107868
17, 9.884895491180941, 2021-03-23 03:00:11.798003
18, 11.134526941226795, 2021-03-23 03:00:13.047625
19, 11.52921197609976, 2021-03-23 03:00:13.442314
20, 11.74528123321943, 2021-03-23 03:00:13.658390
21, 15.867189635057002, 2021-03-23 03:00:17.780285
22, 15.956640563206747, 2021-03-23 03:00:17.869749
23, 16.29925158317201, 2021-03-23 03:00:18.212361
24, 16.341430460102856, 2021-03-23 03:00:18.254541
25, 16.369444175157696, 2021-03-23 03:00:18.282554
26, 18.4681968272198, 2021-03-23 03:00:20.381302
27, 19.819454529089853, 2021-03-23 03:00:21.732563
28, 19.87238857918419, 2021-03-23 03:00:21.785498
29, 21.74319762107916, 2021-03-23 03:00:23.656306
30, 22.217179314000532, 2021-03-23 03:00:24.130288
31, 22.976664851186797, 2021-03-23 03:00:24.889774
32, 24.279194985050708, 2021-03-23 03:00:26.192297
33, 24.443606512155384, 2021-03-23 03:00:26.356716
34, 25.036269097123295, 2021-03-23 03:00:26.949376
35, 26.408158445032313, 2021-03-23 03:00:28.321259
36, 27.06002670014277, 2021-03-23 03:00:28.973134
37, 27.3611731370911, 2021-03-23 03:00:29.274282
38, 27.399331712163985, 2021-03-23 03:00:29.312442
39, 27.45149626210332, 2021-03-23 03:00:29.364607
40, 28.095899783074856, 2021-03-23 03:00:30.009010
41, 28.188545644050464, 2021-03-23 03:00:30.101656
42, 28.274278664030135, 2021-03-23 03:00:30.187382
43, 29.08447664207779, 2021-03-23 03:00:30.997584
44, 30.080634042154998, 2021-03-23 03:00:31.993743
45, 30.317955604055896, 2021-03-23 03:00:32.231065
46, 30.437580311205238, 2021-03-23 03:00:32.350690
47, 30.829182484187186, 2021-03-23 03:00:32.742293
48, 30.86174144502729, 2021-03-23 03:00:32.774851
49, 31.059236783068627, 2021-03-23 03:00:32.972347
50, 31.39304140303284, 2021-03-23 03:00:33.306151
51, 33.01401087711565, 2021-03-23 03:00:34.927120
52, 33.62546794116497, 2021-03-23 03:00:35.538577
53, 33.67347030504607, 2021-03-23 03:00:35.586581
54, 33.89924815506674, 2021-03-23 03:00:35.812358
55, 35.38384133018553, 2021-03-23 03:00:37.296943
56, 37.091923335101455, 2021-03-23 03:00:39.005024
57, 37.320924510015175, 2021-03-23 03:00:39.234030
58, 38.269854272017255, 2021-03-23 03:00:40.182963
59, 39.4939005500637, 2021-03-23 03:00:41.407004
60, 39.61035492015071, 2021-03-23 03:00:41.523464
61, 40.89618821302429, 2021-03-23 03:00:42.809295
62, 41.52661377820186, 2021-03-23 03:00:43.439717
63, 41.852343483129516, 2021-03-23 03:00:43.765452
64, 42.040898711187765, 2021-03-23 03:00:43.954008
65, 42.270278237061575, 2021-03-23 03:00:44.183388
66, 43.1125029521063, 2021-03-23 03:00:45.025611
67, 45.228340968023986, 2021-03-23 03:00:47.141448
68, 45.81352046318352, 2021-03-23 03:00:47.726627
69, 46.86682227207348, 2021-03-23 03:00:48.779928
70, 46.97702056309208, 2021-03-23 03:00:48.890130
71, 47.3472194832284, 2021-03-23 03:00:49.260326
72, 47.49050281313248, 2021-03-23 03:00:49.403613
73, 47.527879236033186, 2021-03-23 03:00:49.440989
