03/23/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 04:53, Vrbl8, 16, Fair, CLR, 10.6, 5, 12.8, 9.4, 69%, NA, NA, 75.97, 1012.7, , , 
---
Minute since start, Events per minute
1, 64
2, 93
3, 93
4, 102
5, 91
6, 72
7, 90
8, 91
9, 103
10, 77
11, 83
12, 77
13, 74
14, 89
15, 68
16, 102
17, 96
18, 78
19, 67
20, 84
21, 69
22, 72
23, 74
24, 88
25, 75
26, 66
27, 83
28, 72
29, 81
30, 83
31, 89
32, 74
33, 92
34, 98
35, 94
36, 63
37, 86
38, 79
39, 88
40, 98
41, 90
42, 95
43, 72
44, 75
45, 84
46, 75
47, 82
48, 86
49, 73
50, 81
51, 85
52, 70
53, 68
54, 92
55, 74
56, 81
57, 95
58, 89
59, 89
60, 82
61, 1
