03/23/21 05:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 05:53, N21G35, 16, Fair, CLR, 11.1, 4.4, , , 64%, NA, NA, 75.95, 1012.6, , , 
---
Minute since start, Events per minute
1, 85
2, 80
3, 105
4, 79
5, 86
6, 84
7, 87
8, 93
9, 78
10, 72
11, 89
12, 94
13, 81
14, 69
15, 76
16, 102
17, 88
18, 88
19, 90
20, 80
21, 88
22, 79
23, 91
24, 72
25, 79
26, 95
27, 69
28, 85
29, 90
30, 95
31, 76
32, 92
33, 82
34, 99
35, 91
36, 78
37, 98
38, 86
39, 89
40, 91
41, 98
42, 86
43, 83
44, 81
45, 80
46, 81
47, 75
48, 101
49, 81
50, 68
51, 73
52, 98
53, 85
54, 78
55, 89
56, 98
57, 55
58, 77
59, 90
60, 84
