03/23/21 06:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 06:53, Calm, 16, Fair, CLR, 10, 5, , , 71%, NA, NA, 75.97, 1012.6, , , 
---
Minute since start, Events per minute
1, 70
2, 94
3, 87
4, 96
5, 93
6, 73
7, 84
8, 107
9, 93
10, 81
11, 80
12, 88
13, 93
14, 102
15, 82
16, 85
17, 94
18, 84
19, 75
20, 90
21, 84
22, 90
23, 92
24, 94
25, 80
26, 79
27, 85
28, 85
29, 76
30, 97
31, 91
32, 78
33, 79
34, 81
35, 94
36, 73
37, 83
38, 88
39, 77
40, 94
41, 87
42, 92
43, 83
44, 84
45, 99
46, 90
47, 85
48, 93
49, 83
50, 87
51, 78
52, 86
53, 77
54, 78
55, 88
56, 85
57, 79
58, 88
59, 86
60, 84
