03/23/21 07:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 07:53, NW8, 16, Fair, CLR, 10.6, 5, , , 69%, NA, NA, 75.97, 1012.9, , , 
---
Minute since start, Events per minute
1, 86
2, 94
3, 77
4, 81
5, 70
6, 97
7, 82
8, 87
9, 94
10, 92
11, 88
12, 100
13, 88
14, 93
15, 81
16, 88
17, 83
18, 101
19, 98
20, 91
21, 89
22, 102
23, 97
24, 101
25, 95
26, 82
27, 74
28, 105
29, 89
30, 97
31, 75
32, 98
33, 83
34, 94
35, 93
36, 76
37, 95
38, 81
39, 91
40, 105
41, 74
42, 64
43, 86
44, 88
45, 100
46, 76
47, 91
48, 89
49, 87
50, 88
51, 85
52, 96
53, 85
54, 79
55, 75
56, 79
57, 83
58, 99
59, 91
60, 64
