03/23/21 08:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
23, 08:53, N11, 16, Fair, CLR, 14.4, 4.4, , , 51%, NA, NA, 76.02, 1013.3, , , 
---
Minute since start, Events per minute
1, 87
2, 97
3, 90
4, 64
5, 76
6, 76
7, 72
8, 89
9, 76
10, 84
11, 87
12, 84
13, 88
14, 92
15, 78
16, 85
17, 84
18, 98
19, 101
20, 84
21, 71
22, 73
23, 76
24, 80
25, 72
26, 94
27, 92
28, 89
29, 98
30, 78
31, 76
32, 86
33, 72
34, 86
35, 81
36, 72
37, 65
38, 92
39, 86
40, 84
41, 80
42, 75
43, 85
44, 92
45, 88
46, 95
47, 95
48, 81
49, 80
50, 83
51, 80
52, 79
53, 91
54, 76
55, 90
56, 94
57, 87
58, 90
59, 100
60, 75
