All Weather data 
----
02/23/21, 14:48:54 (scraped): 23, 13:53, W21, 16, Fair, CLR, 21.1, 1.1, , , 27%, NA, NA, 76.15, 1015.1, , , 
02/23/21, 15:01:02 (scraped): 23, 13:53, W21, 16, Fair, CLR, 21.1, 1.1, , , 27%, NA, NA, 76.15, 1015.1, , , 
02/23/21, 15:31:02 (scraped): 23, 14:53, W19, 16, Fair, CLR, 22.8, 0, , , 22%, NA, NA, 76.12, 1014.7, , , 
02/23/21, 16:01:02 (scraped): 23, 15:53, W21, 16, Mostly Cloudy, BKN220, 21.1, 1.7, 23.9, 16.1, 28%, NA, NA, 76.1, 1014.5, , , 
02/23/21, 16:31:02 (scraped): 23, 15:53, W21, 16, Mostly Cloudy, BKN220, 21.1, 1.7, 23.9, 16.1, 28%, NA, NA, 76.1, 1014.5, , , 
02/23/21, 17:01:02 (scraped): 23, 15:53, W21, 16, Mostly Cloudy, BKN220, 21.1, 1.7, 23.9, 16.1, 28%, NA, NA, 76.1, 1014.5, , , 
02/23/21, 17:31:02 (scraped): 23, 16:53, W10, 16, Fair, CLR, 18.9, 2.8, , , 34%, NA, NA, 76.1, 1014.3, , , 
02/23/21, 18:01:01 (scraped): 23, 16:53, W10, 16, Fair, CLR, 18.9, 2.8, , , 34%, NA, NA, 76.1, 1014.3, , , 
02/23/21, 18:31:02 (scraped): 23, 17:53, W10, 16, Mostly Cloudy, BKN220, 16.1, 5.6, , , 50%, NA, NA, 76.1, 1014.5, , , 
02/23/21, 19:01:01 (scraped): 23, 17:53, W10, 16, Mostly Cloudy, BKN220, 16.1, 5.6, , , 50%, NA, NA, 76.1, 1014.5, , , 
02/23/21, 19:31:02 (scraped): 23, 18:53, SW11, 16, Fair, CLR, 14.4, 7.8, , , 65%, NA, NA, 76.1, 1014.5, , , 
02/23/21, 20:01:02 (scraped): 23, 18:53, SW11, 16, Fair, CLR, 14.4, 7.8, , , 65%, NA, NA, 76.1, 1014.5, , , 
02/23/21, 20:31:02 (scraped): 23, 19:53, Calm, 16, Mostly Cloudy, BKN250, 13.3, 8.3, , , 72%, NA, NA, 76.12, 1014.9, , , 
02/23/21, 21:01:01 (scraped): 23, 19:53, Calm, 16, Mostly Cloudy, BKN250, 13.3, 8.3, , , 72%, NA, NA, 76.12, 1014.9, , , 
02/23/21, 21:31:02 (scraped): 23, 20:53, SE5, 16, Fair, CLR, 12.2, 7.2, , , 72%, NA, NA, 76.15, 1015.3, , , 
02/23/21, 22:01:02 (scraped): 23, 20:53, SE5, 16, Fair, CLR, 12.2, 7.2, , , 72%, NA, NA, 76.15, 1015.3, , , 
02/23/21, 22:31:01 (scraped): 23, 21:53, Calm, 16, Fair, CLR, 11.7, 7.2, 21.1, 11.1, 74%, NA, NA, 76.2, 1015.7, , , 
02/23/21, 23:01:01 (scraped): 23, 21:53, Calm, 16, Fair, CLR, 11.7, 7.2, 21.1, 11.1, 74%, NA, NA, 76.2, 1015.7, , , 
02/23/21, 23:31:02 (scraped): 23, 22:53, Calm, 16, Fair, CLR, 10, 5.6, , , 74%, NA, NA, 76.2, 1015.7, , , 
02/24/21, 00:01:02 (scraped): 23, 22:53, Calm, 16, Fair, CLR, 10, 5.6, , , 74%, NA, NA, 76.2, 1015.7, , , 
