Running total of all data acquisitions 
-DATA: mean of events per minute, standard deviation, variance, range -CONDITIONS: Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm) 
---
--- 0216_Hour16 --- DATA: 83.43333333333334, 9.476763136642312, 89.80903954802262, 53 --- CONDITIONS: 16, 15:53, W35G53, 16, Fair and Breezy, CLR, 17.8, 6.7, 22.2, 17.8, 48%, NA, NA, 76.05, 1013.8, , ,
--- 0216_Hour17 --- DATA: 84.18333333333334, 8.032754275025338, 64.52514124293783, 37 --- CONDITIONS: 16, 16:53, W29G45, 16, Fair, CLR, 17.2, 5.6, , , 47%, NA, NA, 76.05, 1013.9, , ,
--- 0216_Hour18 --- DATA: 82.51666666666667, 9.184533179074162, 84.35564971751413, 41 --- CONDITIONS: 16, 18:53, N10, 16, Fair, CLR, 13.9, 5.6, , , 58%, NA, NA, 76.17, 1015.6, , ,
--- 0216_Hour19 --- DATA: 82.93333333333334, 9.987902286786525, 99.7581920903955, 45 --- CONDITIONS: 16, 19:53, NW5, 16, Fair, CLR, 13.3, 5, , , 57%, NA, NA, 76.2, 1015.9, , ,
--- 0216_Hour20 --- DATA: 84.58333333333333, 9.428215257293031, 88.89124293785311, 40 --- CONDITIONS: 16, 19:53, NW5, 16, Fair, CLR, 13.3, 5, , , 57%, NA, NA, 76.2, 1015.9, , ,
--- 0216_Hour21 --- DATA: 84.41666666666667, 10.621838180262568, 112.82344632768363, 57 --- CONDITIONS: 16, 20:53, Calm, 16, Fair, CLR, 12.8, 5, , , 59%, NA, NA, 76.23, 1016.0, , ,
--- 0216_Hour22 --- DATA: 83.86666666666666, 9.143797873314051, 83.60903954802257, 45 --- CONDITIONS: 16, 22:53, N16, 16, Fair, CLR, 12.8, 3.3, , , 53%, NA, NA, 76.23, 1016.3, , ,
--- 0216_Hour23 --- DATA: 85.81666666666666, 9.829895022745262, 96.62683615819208, 48 --- CONDITIONS: 16, 23:53, NE21, 16, Fair, CLR, 13.3, 1.7, , , 46%, NA, NA, 76.23, 1016.1, , ,
--- 0217_Hour12 --- DATA: 85.04918032786885, 15.223256582729155, 231.74754098360657, 105 --- CONDITIONS: 17, 11:53, SW14, 16, Fair, CLR, 18.9, 3.3, , , 36%, NA, NA, 76.25, 1016.5, , ,
--- 0217_Hour13 --- DATA: 85.58333333333333, 9.035319897475546, 81.63700564971751, 43 --- CONDITIONS: 17, 13:53, NW26G42, 16, Fair, CLR, 21.7, -5, , , 16%, NA, NA, 76.15, 1015.1, , ,
--- 0217_Hour14 --- DATA: 84.35, 8.955303324126918, 80.19745762711864, 39 --- CONDITIONS: 17, 13:53, NW26G42, 16, Fair, CLR, 21.7, -5, , , 16%, NA, NA, 76.15, 1015.1, , ,
--- 0217_Hour15 --- DATA: 84.21666666666667, 9.290220239068365, 86.30819209039547, 54 --- CONDITIONS: 17, 14:53, N26G37, 16, Fair, CLR, 22.2, -5.6, , , 15%, NA, NA, 76.15, 1015.1, , ,
--- 0217_Hour16 --- DATA: 84.91666666666667, 8.53565138889636, 72.85734463276836, 44 --- CONDITIONS: 17, 15:53, NE24G39, 16, Fair, CLR, 20.6, -6.7, 22.8, 17.2, 15%, NA, NA, 76.17, 1015.7, , ,
--- 0217_Hour17 --- DATA: 84.78333333333333, 9.515538882585089, 90.5454802259887, 41 --- CONDITIONS: 17, 16:53, N24, 16, Fair, CLR, 19.4, -7.2, , , 16%, NA, NA, 76.23, 1016.3, , ,
--- 0217_Hour18 --- DATA: 82.7, 10.474019512382183, 109.7050847457627, 47 --- CONDITIONS: 17, 17:53, N21, 16, Fair, CLR, 17.2, -7.2, , , 18%, NA, NA, 76.33, 1017.6, , ,
--- 0217_Hour19 --- DATA: 84.31666666666666, 8.043297381569426, 64.69463276836157, 35 --- CONDITIONS: 17, 18:53, N19, 16, Fair, CLR, 16.1, -6.1, , , 21%, NA, NA, 76.43, 1018.8, , ,
--- 0217_Hour20 --- DATA: 83.43333333333334, 7.289106491630348, 53.13107344632768, 33 --- CONDITIONS: 17, 19:53, N19, 16, Fair, CLR, 15.6, -7.2, , , 20%, NA, NA, 76.48, 1019.6, , ,
--- 0217_Hour21 --- DATA: 83.21666666666667, 8.588702999233329, 73.76581920903956, 46 --- CONDITIONS: 17, 21:53, NE14, 16, Fair, CLR, 15, -9.4, 20.6, 13.9, 18%, NA, NA, 76.56, 1020.5, , ,
